timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),pressure(hPa),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1733976002073,36.016162,129.324678,0.000000,9.115051,-0.333420,3.602071,1016.456299,0.007156,0.007809,0.005991,-26.660543,true,true,true,false
1733976002095,36.016162,129.324678,0.000000,9.115808,-0.333451,3.600121,1016.456299,-0.003178,0.010234,0.003153,-24.661423,true,true,true,false
1733976007004,36.016162,129.324678,0.000000,8.852010,-0.330182,4.207508,1016.442871,0.021201,-0.129505,-0.096664,-24.592531,true,true,true,false
1733976007029,36.016162,129.324678,0.000000,8.852010,-0.330182,4.207508,1016.432129,0.021201,-0.129505,-0.096664,-26.459730,true,true,true,false
1733976012004,36.016162,129.324678,0.000000,8.899982,-0.364227,4.102166,1016.500244,-0.089021,0.072134,-0.043994,-25.111975,true,true,true,false
1733976012047,36.016162,129.324678,0.000000,8.899982,-0.364227,4.102166,1016.498047,-0.089021,0.072134,-0.043994,-27.004040,true,true,true,false
1733976017022,36.016162,129.324678,0.000000,8.904658,-0.383149,4.090291,1016.530273,-0.074543,0.055143,-0.010571,-27.273552,true,true,true,false
1733976017058,36.016162,129.324678,0.000000,8.907631,-0.386865,4.083462,1016.530273,-0.106246,0.097167,0.032170,-24.958544,true,true,true,false
1733976022056,36.016162,129.324678,0.000000,9.232528,-0.392970,3.282721,1016.441895,-0.076801,0.052994,0.038037,-26.539000,true,true,true,false
1733976022121,36.016162,129.324678,0.000000,9.240844,-0.393450,3.259160,1016.458008,0.041776,0.063050,0.073569,-26.676397,true,true,true,false
1733976027061,36.016162,129.324678,0.000000,9.145927,-0.942312,3.410900,1016.527100,0.151057,0.307849,1.049497,-27.247128,true,true,true,false
1733976027118,36.016162,129.324678,0.000000,9.001500,-0.871881,3.792497,1016.527100,0.008180,0.100948,0.172301,-25.212512,true,true,true,false
1733976032101,36.016162,129.324678,0.000000,8.965919,-0.823374,3.886482,1016.505127,0.000666,-0.007414,-0.019846,-27.067453,true,true,true,false
1733976032133,36.016162,129.324678,0.000000,8.965919,-0.823374,3.886482,1016.496338,0.000666,-0.007414,-0.019846,-26.993469,true,true,true,false
1733976037111,36.016162,129.324678,0.000000,8.976899,-0.825615,3.860561,1016.536621,0.004050,-0.017144,-0.008290,-27.326397,true,true,true,false
1733976037131,36.016162,129.324678,0.000000,8.976899,-0.825615,3.860561,1016.545410,0.004050,-0.017144,-0.008290,-27.400381,true,true,true,false
1733976042112,36.016162,129.324678,0.000000,8.980125,-0.822915,3.853611,1016.507568,-0.015935,0.004098,-0.003735,-25.133432,true,true,true,false
1733976042134,36.016162,129.324678,0.000000,8.980125,-0.822915,3.853611,1016.499268,-0.015935,0.004098,-0.003735,-27.014608,true,true,true,false
1733976047130,36.016162,129.324678,0.000000,9.098140,-0.515097,3.623346,1016.528564,0.000126,-0.028387,-0.039226,-27.257698,true,true,true,false
1733976047156,36.016162,129.324678,0.000000,9.098140,-0.515097,3.623346,1016.528564,0.000126,-0.028387,-0.039226,-27.257698,true,true,true,false
1733976052137,36.016162,129.324678,0.000000,9.083416,-0.424268,3.671754,1016.512695,0.010061,0.026831,0.012922,-25.169740,true,true,true,false
1733976052183,36.016162,129.324678,0.000000,9.083416,-0.424268,3.671754,1016.512695,0.010061,0.026831,0.012922,-25.169740,true,true,true,false
