timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),pressure(hPa),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1733962796566,36.015815,129.320935,0.000000,0.198556,2.901918,9.365353,1020.647705,-1.323831,0.507425,-0.355673,-61.405915,true,false,true,false
1733962796590,36.015815,129.320935,0.000000,0.198556,2.901918,9.365353,1020.647705,-1.323831,0.507425,-0.355673,-61.405915,true,false,true,false
1733962803679,36.015816,129.320954,0.171813,-0.548248,4.032114,8.922547,1020.603760,0.143628,0.447438,0.589915,-61.041813,true,false,true,false
1733962803694,36.015816,129.320954,0.171813,-0.548248,4.032114,8.922547,1020.603760,0.143628,0.447438,0.589915,-61.041813,true,false,true,false
1733962808765,36.015814,129.320942,0.201738,-1.597680,3.744736,8.921589,1020.626953,0.527472,0.054862,-0.371595,-61.237339,true,false,true,false
1733962808794,36.015814,129.320942,0.201738,-1.597680,3.744736,8.921589,1020.626953,0.527472,0.054862,-0.371595,-61.237339,true,false,true,false
1733962813854,36.015809,129.320931,0.228177,-2.822292,0.251124,9.388396,1020.696045,0.349081,0.072093,-0.409841,-62.062071,true,false,true,false
1733962813887,36.015809,129.320931,0.228177,-2.822292,0.251124,9.388396,1020.696045,0.349081,0.072093,-0.409841,-62.062071,true,false,true,false
1733962818765,36.015826,129.320940,0.380950,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962821386,36.015826,129.320943,2.483378,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962823430,36.015828,129.320957,2.471497,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962825396,36.015821,129.320981,2.406144,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962827390,36.015820,129.320971,0.343350,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962830167,36.015819,129.320943,0.692550,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962832246,36.015819,129.320944,0.117802,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962834250,36.015815,129.320939,0.319193,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962836244,36.015815,129.320939,0.080937,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962838230,36.015815,129.320939,0.005923,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962840254,36.015819,129.320964,0.624705,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962842237,36.015817,129.320961,0.059316,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962844262,36.015816,129.320950,0.490698,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962846236,36.015815,129.320950,0.118062,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962848229,36.015816,129.320950,0.008149,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962850239,36.015813,129.320936,0.356802,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962852220,36.015809,129.320953,0.366728,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962854271,36.015809,129.320953,0.036812,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962856239,36.015809,129.320953,0.003326,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962858236,36.015809,129.320953,0.000165,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962860227,36.015809,129.320953,0.000077,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962862232,36.015809,129.320953,0.000009,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962864252,36.015809,129.320953,0.000000,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
1733962866252,36.015768,129.320908,3.347766,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,false,true,false
