timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),pressure(hPa),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1733968804181,36.012686,129.321760,0.166429,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733968804201,36.012686,129.321760,0.166429,9.720179,0.141583,1.291637,1018.928467,0.031704,0.002069,0.008415,-47.169872,true,true,true,false
1733968804218,36.012686,129.321760,0.166429,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733968804234,36.012686,129.321760,0.166429,9.720055,0.138382,1.292904,1018.933350,0.039011,0.005270,0.014330,-41.685107,true,true,true,false
1733968809189,36.012686,129.321760,0.057068,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733968809211,36.012686,129.321760,0.057068,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733968809225,36.012686,129.321760,0.057068,9.719567,0.140482,1.296323,1018.941162,0.008373,0.003170,0.003728,-47.275566,true,true,true,false
1733968809243,36.012686,129.321760,0.057068,9.719567,0.140482,1.296323,1018.941162,0.008373,0.003170,0.003728,-47.275566,true,true,true,false
1733968814177,36.012687,129.321760,0.005378,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733968814197,36.012687,129.321760,0.005378,9.717985,0.143614,1.307756,1018.926270,-0.004410,-0.002356,-0.000522,-41.926045,true,true,true,false
1733968814215,36.012687,129.321760,0.005378,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733968814230,36.012687,129.321760,0.005378,9.717985,0.143614,1.307756,1018.901611,-0.004410,-0.002356,-0.000522,-46.947922,true,true,true,false
1733968819216,36.012687,129.321759,0.007213,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733968819241,36.012687,129.321759,0.007213,9.718220,0.148094,1.305518,1018.913574,0.007327,-0.018807,0.004110,-47.043045,true,true,true,false
1733968819255,36.012687,129.321759,0.007213,9.718220,0.148094,1.305518,1018.913574,0.007327,-0.018807,0.004110,-47.043045,true,true,true,false
1733968819273,36.012687,129.321759,0.007213,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733968824219,36.012687,129.321759,0.005606,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733968824239,36.012687,129.321759,0.005606,9.717777,0.145306,1.309068,1018.931641,0.007770,-0.001654,-0.006622,-47.196297,true,true,true,false
1733968824256,36.012687,129.321759,0.005606,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
1733968824272,36.012687,129.321759,0.005606,9.717777,0.145306,1.309068,1018.931641,0.007770,-0.001654,-0.006622,-47.196297,true,true,true,false
1733968829249,36.012687,129.321759,0.002228,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,true,true,true,false
1733968829271,36.012687,129.321759,0.002228,9.717580,0.147988,1.310285,1018.919434,0.000784,-0.006730,0.004131,-41.970211,true,true,true,false
1733968829290,36.012687,129.321759,0.002228,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,true,true,true,false
