timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),pressure(hPa),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1733968342139,36.011951,129.321772,1.021111,0.260213,-0.697609,9.778345,1019.823730,-2.426965,1.310525,2.650255,-49.043474,false,true,false,false
1733968343133,36.011954,129.321786,0.939049,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968343152,36.011954,129.321786,0.939049,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968343961,36.011959,129.321797,0.902155,1.434689,0.254592,9.697795,1019.840576,0.210128,1.399802,-2.122241,-48.997236,false,true,false,false
1733968343986,36.011959,129.321797,0.902155,1.434689,0.254592,9.697795,1019.846924,0.210128,1.399802,-2.122241,-54.779621,false,true,false,false
1733968344123,36.011952,129.321808,0.000000,0.168235,-0.000886,9.805207,1019.860107,0.923521,2.469308,-3.939114,-49.100656,false,true,false,false
1733968345119,36.011964,129.321811,0.913332,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968345139,36.011964,129.321811,0.913332,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968346120,36.011971,129.321819,0.849884,1.264717,1.664232,9.581294,1019.822510,1.347357,2.784194,1.963846,-48.720825,false,true,false,false
1733968346127,36.011971,129.321819,0.849884,1.264717,1.664232,9.581294,1019.822510,1.347357,2.784194,1.963846,-48.720825,false,true,false,false
1733968347116,36.011981,129.321827,1.021745,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968347127,36.011981,129.321827,1.021745,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968347956,36.011993,129.321839,1.009058,0.807614,1.262551,9.691445,1019.842041,-1.657556,0.425361,-1.754367,-48.761373,false,true,false,false
1733968347976,36.011993,129.321839,1.009058,0.807614,1.262551,9.691445,1019.842041,-1.657556,0.425361,-1.754367,-48.761373,false,true,false,false
1733968349073,36.011998,129.321848,1.045571,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
1733968349094,36.011998,129.321848,1.045571,-0.152816,0.163869,9.804090,1020.682617,-0.007596,-0.013034,0.055532,-61.990771,false,true,false,false
1733968349116,36.012006,129.321868,1.403494,0.947908,1.908818,9.572265,1019.835938,-2.484985,-0.869735,1.393478,-54.684502,false,true,false,false
1733968350113,36.012005,129.321863,1.103653,0.686843,1.692811,9.634990,1019.870605,-1.713955,-1.551553,2.202243,-54.975151,false,true,false,false
1733968350132,36.012005,129.321863,1.103653,0.686843,1.692811,9.634990,1019.870605,-1.713955,-1.551553,2.202243,-54.975151,false,true,false,false
1733968351108,36.012010,129.321879,1.133509,-1.636807,2.118102,9.434240,1019.984131,-0.395870,0.884227,0.916193,-55.915802,false,true,false,false
