timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),pressure(hPa),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1733983200111,36.015788,129.320858,0.148160,-0.887549,-0.073773,9.766125,1017.502686,-0.012671,0.009130,0.016883,-77.835242,true,false,false,false
1733983200131,36.015788,129.320858,0.148160,-0.887549,-0.073773,9.766125,1017.496338,-0.012671,0.009130,0.016883,-35.290211,true,false,false,false
1733983202094,36.015787,129.320857,0.012362,-0.885682,-0.071737,9.766310,1017.534668,0.007010,-0.019243,0.007121,-79.766524,true,false,false,false
1733983202118,36.015787,129.320857,0.014931,-0.885682,-0.071737,9.766310,1017.550781,0.007010,-0.019243,0.007121,-35.744682,true,false,false,false
1733983202138,36.015787,129.320857,0.014931,-0.885682,-0.071737,9.766310,1017.550781,0.007010,-0.019243,0.007121,-35.744682,true,false,false,false
1733983204105,36.015787,129.320851,0.003812,-0.883549,-0.072091,9.766500,1017.461426,0.000088,-0.014100,0.011719,-35.004845,true,false,false,false
1733983204128,36.015787,129.320851,0.003812,-0.883549,-0.072091,9.766500,1017.447266,0.000088,-0.014100,0.011719,-34.883301,true,false,false,false
1733983206109,36.015789,129.320851,0.027953,-0.885345,-0.072403,9.766335,1017.475342,-0.007692,0.017336,0.004701,-35.115822,true,false,false,false
1733983206133,36.015789,129.320851,0.027953,-0.885345,-0.072403,9.766335,1017.490723,-0.007692,0.017336,0.004701,-35.247932,true,false,false,false
1733983207092,36.015790,129.320852,0.001284,-0.887723,-0.068366,9.766149,1017.486572,-0.017285,-0.013037,0.024041,-77.718954,true,false,false,false
1733983208117,36.015790,129.320852,0.005089,-0.881630,-0.071489,9.766678,1017.482422,-0.011407,0.009240,0.018723,-35.179234,true,false,false,false
1733983208138,36.015790,129.320852,0.005089,-0.884754,-0.071521,9.766396,1017.473145,-0.005890,0.002089,0.030977,-79.037766,true,false,false,false
1733983210119,36.015792,129.320844,0.019665,-0.885981,-0.072598,9.766276,1017.489014,0.004915,0.007955,0.021520,-77.752029,true,false,false,false
1733983210147,36.015792,129.320844,0.019665,-0.885981,-0.072598,9.766276,1017.489014,0.004915,0.007955,0.021520,-77.752029,true,false,false,false
1733983212086,36.015789,129.320840,0.152848,-0.891007,-0.070565,9.765834,1017.495605,0.007547,-0.001261,0.019567,-35.284927,true,false,false,false
1733983212110,36.015790,129.320842,0.129308,-0.887048,-0.072884,9.766177,1017.495605,0.001193,-0.020490,0.019224,-82.324930,true,false,false,false
1733983212128,36.015790,129.320842,0.129308,-0.887048,-0.072884,9.766177,1017.502197,0.001193,-0.020490,0.019224,-35.343056,true,false,false,false
1733983214106,36.015789,129.320841,0.008897,-0.883512,-0.072280,9.766502,1017.469482,0.002446,-0.001940,0.021294,-77.602814,true,false,false,false
1733983214127,36.015789,129.320841,0.008897,-0.883512,-0.072280,9.766502,1017.462646,0.002446,-0.001940,0.021294,-35.015415,true,false,false,false
1733983216092,36.015786,129.320844,0.020844,-0.887665,-0.071453,9.766132,1017.444336,-0.026920,-0.009950,0.014481,-77.876630,true,false,false,false
1733983216109,36.015786,129.320844,0.020844,-0.887665,-0.071453,9.766132,1017.478760,-0.026920,-0.009950,0.014481,-35.147526,true,false,false,false
1733983217091,36.015786,129.320845,0.004804,-0.891015,-0.073235,9.765814,1017.463135,0.007554,0.003803,0.007617,-35.015415,true,false,false,false
1733983218094,36.015784,129.320847,0.034647,-0.883555,-0.072685,9.766496,1017.468506,-0.007088,-0.011112,0.023694,-77.370256,true,false,false,false
1733983218116,36.015784,129.320847,0.034647,-0.883555,-0.072685,9.766496,1017.471436,-0.007088,-0.011112,0.023694,-35.084114,true,false,false,false
1733983220108,36.015782,129.320848,0.015066,-0.885049,-0.071944,9.766365,1017.473877,-0.012776,-0.009459,0.007066,-77.895061,true,false,false,false
1733983220130,36.015782,129.320848,0.015066,-0.885049,-0.071944,9.766365,1017.475830,-0.012776,-0.009459,0.007066,-35.121105,true,false,false,false
1733983222098,36.015780,129.320847,0.014898,-0.888144,-0.071616,9.766088,1017.472412,-0.016864,-0.004998,0.024102,-35.094681,true,false,false,false
1733983222124,36.015780,129.320847,0.034356,-0.888144,-0.071616,9.766088,1017.462646,-0.016864,-0.004998,0.024102,-35.015415,true,false,false,false
1733983222144,36.015780,129.320847,0.034356,-0.888144,-0.071616,9.766088,1017.462646,-0.016864,-0.004998,0.024102,-35.015415,true,false,false,false
1733983224093,36.015777,129.320845,0.143267,-0.887400,-0.072230,9.766150,1017.474854,0.015911,-0.011567,0.024039,-35.115822,true,false,false,false
1733983224115,36.015777,129.320845,0.143267,-0.887400,-0.072230,9.766150,1017.463135,0.015911,-0.011567,0.024039,-35.015415,true,false,false,false
1733983226104,36.015776,129.320844,0.006934,-0.885350,-0.070342,9.766351,1017.513916,-0.005293,0.008093,0.016657,-35.438179,true,false,false,false
1733983226127,36.015776,129.320844,0.006934,-0.885350,-0.070342,9.766351,1017.513428,-0.005293,0.008093,0.016657,-35.432892,true,false,false,false
1733983227086,36.015772,129.320844,0.029203,-0.888053,-0.071059,9.766100,1017.500000,-0.012167,0.006415,0.031273,-78.135586,true,false,false,false
1733983228094,36.015773,129.320844,0.008111,-0.885861,-0.069516,9.766310,1017.501221,-0.021542,-0.028647,0.026275,-35.332485,true,false,false,false
1733983228118,36.015773,129.320844,0.008111,-0.886885,-0.071313,9.766204,1017.484863,0.001030,-0.000513,0.023986,-79.678704,true,false,false,false
1733983230117,36.015770,129.320844,0.175088,-0.884187,-0.074105,9.766427,1017.499512,0.007910,0.009462,0.030946,-35.316631,true,false,false,false
1733983230141,36.015770,129.320844,0.175088,-0.884187,-0.074105,9.766427,1017.499512,0.007910,0.009462,0.030946,-35.316631,true,false,false,false
1733983232098,36.015769,129.320844,0.011724,-0.887037,-0.071932,9.766186,1017.529297,-0.008395,0.002500,0.019216,-78.159320,true,false,false,false
1733983232118,36.015769,129.320844,0.014561,-0.887037,-0.071932,9.766186,1017.495117,-0.008395,0.002500,0.019216,-35.284927,true,false,false,false
1733983232134,36.015769,129.320844,0.014561,-0.887037,-0.071932,9.766186,1017.495117,-0.008395,0.002500,0.019216,-35.284927,true,false,false,false
1733983234097,36.015766,129.320843,0.016821,-0.883656,-0.072398,9.766489,1017.525391,-0.006987,-0.001822,0.016519,-77.660176,true,false,false,false
1733983234124,36.015766,129.320843,0.016821,-0.883656,-0.072398,9.766489,1017.541260,-0.006987,-0.001822,0.016519,-35.665413,true,false,false,false
1733983236095,36.015766,129.320843,0.137374,-0.886583,-0.073942,9.766212,1017.500732,0.000729,0.006905,0.004825,-78.413532,true,false,false,false
1733983236123,36.015766,129.320843,0.137374,-0.886583,-0.073942,9.766212,1017.496826,0.000729,0.006905,0.004825,-35.295494,true,false,false,false
