timestamp(ms),latitude(deg),longitude(deg),speed(m/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),pressure(hPa),linear_accel_x(m/s^2),linear_accel_y(m/s^2),linear_accel_z(m/s^2),altitude(m),wifi_enabled,bluetooth_enabled,silent_mode,mobile_data_enabled
1733979600096,36.012701,129.324275,1.390052,-9.353905,-1.574006,-2.489385,1018.548340,-5.399765,-0.197703,0.495015,-44.014999,false,true,true,false
1733979600115,36.012701,129.324275,1.390052,-9.353905,-1.574006,-2.489385,1018.548340,-5.399765,-0.197703,0.495015,-44.014999,false,true,true,false
1733979601182,36.012693,129.324298,0.904838,-9.335810,-2.249441,-1.988095,1018.538574,1.832082,2.000444,2.186814,-43.935730,false,true,true,false
1733979602177,36.012699,129.324311,1.373022,-9.394312,-2.356060,-1.538177,1018.537109,2.194648,2.640970,-0.425068,-43.925163,false,true,true,false
1733979602197,36.012699,129.324311,1.373022,-9.394312,-2.356060,-1.538177,1018.537109,2.194648,2.640970,-0.425068,-43.925163,false,true,true,false
1733979604185,36.012697,129.324347,1.415211,-9.357119,-1.685099,-2.403053,1018.549561,-10.007784,-4.281551,3.590577,-44.030853,false,true,true,false
1733979604210,36.012697,129.324347,1.415211,-9.357119,-1.685099,-2.403053,1018.549561,-10.007784,-4.281551,3.590577,-44.030853,false,true,true,false
1733979606173,36.012705,129.324382,1.032771,-9.138363,2.849527,-2.130791,1018.504150,2.012919,-6.876575,-0.328054,-43.650364,false,true,true,false
1733979606201,36.012700,129.324383,1.354733,-9.138363,2.849527,-2.130791,1018.504150,2.012919,-6.876575,-0.328054,-43.650364,false,true,true,false
1733979606214,36.012700,129.324383,1.354733,-9.138363,2.849527,-2.130791,1018.504150,2.012919,-6.876575,-0.328054,-43.650364,false,true,true,false
1733979608061,36.012704,129.324415,1.316493,-9.496621,-1.406200,-2.001708,1018.488037,3.537154,-2.481983,2.971360,-59.433951,false,true,true,false
1733979608085,36.012704,129.324415,1.316493,-9.496621,-1.406200,-2.001708,1018.500977,3.537154,-2.481983,2.971360,-43.623943,false,true,true,false
1733979610177,36.012713,129.324451,1.339300,-8.235348,-3.966043,-3.552386,1018.511475,-2.701665,2.481638,2.920316,-43.713779,false,true,true,false
1733979610199,36.012713,129.324451,1.339300,-8.235348,-3.966043,-3.552386,1018.511475,-2.701665,2.481638,2.920316,-43.713779,false,true,true,false
1733979611175,36.012717,129.324458,1.115613,-8.556786,-3.879927,-2.810229,1018.533203,-0.764141,2.136948,1.866913,-43.893456,false,true,true,false
1733979612188,36.012719,129.324480,1.347503,-8.315619,-4.429169,-2.720761,1018.468262,-4.790541,3.519372,0.714420,-43.354431,false,true,true,false
1733979612207,36.012719,129.324480,1.347503,-8.556390,-3.745004,-2.988882,1018.468262,-0.599337,2.363550,2.603415,-61.032765,false,true,true,false
1733979614171,36.012725,129.324508,1.350890,-7.701122,-5.222263,-3.096845,1018.500977,-4.873525,4.659626,1.832706,-59.542566,false,true,true,false
1733979614192,36.012725,129.324508,1.350890,-7.701122,-5.222263,-3.096845,1018.500977,-4.873525,4.659626,1.832706,-59.542566,false,true,true,false
1733979616085,36.012727,129.324537,1.354948,-8.942590,-3.194910,-2.447915,1018.515869,-2.954497,1.823033,-0.906362,-43.750771,false,true,true,false
1733979616115,36.012727,129.324537,1.354948,-8.942590,-3.194910,-2.447915,1018.515869,-2.954497,1.823033,-0.906362,-43.750771,false,true,true,false
1733979616176,36.012723,129.324535,1.092229,-8.737470,-3.857139,-2.224657,1018.531006,1.822716,2.030363,1.767365,-43.872314,false,true,true,false
1733979618173,36.012731,129.324568,1.315311,-8.975495,-2.876586,-2.708396,1018.481201,-6.649664,-0.269395,2.504889,-43.460121,false,true,true,false
1733979618198,36.012731,129.324568,1.315311,-8.975495,-2.876586,-2.708396,1018.481201,-6.649664,-0.269395,2.504889,-43.460121,false,true,true,false
1733979620037,36.012736,129.324598,1.294377,-4.512576,-7.075305,5.074136,1018.496826,-4.401336,10.151855,-3.407772,-43.592236,false,true,true,false
1733979620063,36.012736,129.324598,1.294377,-4.512576,-7.075305,5.074136,1018.494141,-4.401336,10.151855,-3.407772,-43.571098,false,true,true,false
1733979621165,36.012731,129.324620,1.099248,-8.870275,-3.739869,1.871281,1018.438721,3.758356,-0.720529,-5.306960,-43.111340,false,true,true,false
1733979621913,36.012736,129.324630,1.283236,-4.080616,-8.846127,-1.124572,1018.498779,-0.659904,-14.761301,-0.501091,-60.088762,false,true,true,false
1733979621942,36.012736,129.324630,1.283236,-4.080616,-8.846127,-1.124572,1018.498779,-0.659904,-14.761301,-0.501091,-60.088762,false,true,true,false
1733979624172,36.012733,129.324667,1.343041,-4.013130,-8.870439,-1.174683,1018.510742,2.076221,0.344387,8.075071,-43.708496,false,true,true,false
1733979624191,36.012733,129.324667,1.343041,-4.013130,-8.870439,-1.174683,1018.510742,2.076221,0.344387,8.075071,-43.708496,false,true,true,false
1733979626125,36.012769,129.324681,1.055000,-4.265603,-8.573177,-2.115497,1018.529053,3.487488,3.334365,3.065995,-43.856461,false,true,true,false
1733979626145,36.012749,129.324693,1.283166,-4.265603,-8.573177,-2.115497,1018.529053,3.487488,3.334365,3.065995,-43.856461,false,true,true,false
1733979626158,36.012749,129.324693,1.283166,-4.265603,-8.573177,-2.115497,1018.523193,3.487488,3.334365,3.065995,-43.808903,false,true,true,false
1733979628058,36.012762,129.324722,1.299984,-1.111748,-9.733268,-0.444322,1018.565674,-4.859691,-6.112158,2.230397,-60.136737,false,true,true,false
1733979628082,36.012762,129.324722,1.299984,-1.111748,-9.733268,-0.444322,1018.589844,-4.859691,-6.112158,2.230397,-44.363777,false,true,true,false
1733979629932,36.012775,129.324744,1.239320,-2.677354,-9.394204,-0.866391,1018.529785,1.995006,-2.720756,3.873508,-43.861748,false,true,true,false
1733979629960,36.012775,129.324744,1.239320,-2.677354,-9.394204,-0.866391,1018.545166,1.995006,-2.720756,3.873508,-43.993862,false,true,true,false
1733979631155,36.012813,129.324748,0.687481,-2.224120,-9.527913,0.665109,1018.525879,0.964770,1.655478,-1.977132,-59.675294,false,true,true,false
1733979632189,36.012796,129.324767,1.083759,-2.788523,-9.383051,-0.593718,1018.517090,1.517202,-2.195608,3.351839,-59.723041,false,true,true,false
1733979632214,36.012796,129.324767,1.083759,-2.788523,-9.383051,-0.593718,1018.517090,1.517202,-2.195608,3.351839,-59.723041,false,true,true,false
1733979634158,36.012813,129.324789,1.083723,-4.214530,-8.671716,-1.791411,1018.512451,2.560136,2.017930,1.010901,-43.719063,false,true,true,false
1733979634181,36.012813,129.324789,1.083723,-4.214530,-8.671716,-1.791411,1018.512451,2.560136,2.017930,1.010901,-43.719063,false,true,true,false
1733979636183,36.012835,129.324793,0.523681,-0.324228,-9.681210,1.529415,1018.516357,-4.030825,1.191072,-2.068110,-43.750771,false,true,true,false
1733979636206,36.012829,129.324808,1.049765,-0.324228,-9.681210,1.529415,1018.516357,-4.030825,1.191072,-2.068110,-43.750771,false,true,true,false
1733979636224,36.012829,129.324808,1.049765,-0.324228,-9.681210,1.529415,1018.516357,-4.030825,1.191072,-2.068110,-43.750771,false,true,true,false
1733979638066,36.012841,129.324822,1.102368,-4.159846,-8.857750,-0.637107,1018.493408,6.427155,3.257413,1.388886,-43.560528,false,true,true,false
1733979638086,36.012841,129.324822,1.102368,-4.159846,-8.857750,-0.637107,1018.493408,6.427155,3.257413,1.388886,-43.560528,false,true,true,false
1733979640180,36.012850,129.324832,0.958944,-4.148802,-8.873171,-0.473781,1018.560303,-0.457642,2.049397,-0.148711,-44.115406,false,true,true,false
1733979640201,36.012850,129.324832,0.958944,-4.148802,-8.873171,-0.473781,1018.560303,-0.457642,2.049397,-0.148711,-44.115406,false,true,true,false
1733979641186,36.012833,129.324794,0.017544,-1.964266,-9.524358,1.264191,1018.579346,-1.038063,1.070132,-0.536354,-60.010761,false,true,true,false
1733979642194,36.012856,129.324840,0.728368,-4.429090,-8.670609,-1.172115,1018.544922,2.688505,2.335252,-0.417634,-43.988575,false,true,true,false
1733979642213,36.012856,129.324840,0.728368,-4.429090,-8.670609,-1.172115,1018.544922,2.688505,2.335252,-0.417634,-43.988575,false,true,true,false
1733979644155,36.012852,129.324824,0.440138,-0.048461,-9.794907,0.476723,1018.558105,-0.741626,-0.725515,11.221645,-44.099552,false,true,true,false
1733979644178,36.012852,129.324824,0.440138,-0.048461,-9.794907,0.476723,1018.574463,-0.741626,-0.725515,11.221645,-44.236950,false,true,true,false
